date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-07-09,heartbeat,claude-sonnet-5,2233,14427,726051,73927
2026-07-09,github-monitor,claude-sonnet-5,2509,13624,1345406,49961
2026-07-09,verdikta-hunter,claude-sonnet-5,2388,9665,1529732,47575
2026-07-09,digest,claude-sonnet-5,4171,24147,2907781,91091
2026-07-09,verdikta-hunter,claude-sonnet-5,2680,18693,2934425,61624
2026-07-09,verdikta-hunter,claude-sonnet-5,2535,11267,2197385,49076
2026-07-09,verdikta-hunter,claude-sonnet-5,2398,13134,2001613,56003
2026-07-09,verdikta-hunter,claude-sonnet-5,2947,12733,2579704,63464
2026-07-09,write-tweet,claude-sonnet-5,2835,23189,4156230,65787
2026-07-09,memory-flush,claude-sonnet-5,2656,9372,810297,61892
2026-07-10,bd-radar,claude-sonnet-5,3121,33797,4954919,83487
2026-07-10,github-monitor,claude-sonnet-5,2537,11394,2419265,79394
2026-07-10,digest,claude-sonnet-5,10471,25155,5512915,201067
2026-07-10,write-tweet,claude-sonnet-5,2102,5124,663075,66677
2026-07-10,write-tweet,claude-sonnet-5,2674,23630,2833124,64867
2026-07-10,memory-flush,claude-sonnet-5,2267,9712,1195766,71743
2026-07-11,bd-radar,claude-sonnet-5,3676,28430,6278080,145577
2026-07-11,github-monitor,claude-sonnet-5,2388,15511,1834718,90321
2026-07-11,digest,claude-sonnet-5,4731,20874,3731183,177992
2026-07-11,write-tweet,claude-sonnet-5,2833,22098,4073457,95509
2026-07-11,memory-flush,claude-sonnet-5,2261,7119,1001264,68011
2026-07-12,bd-radar,claude-sonnet-5,3709,28394,5447242,155710
2026-07-12,digest,claude-sonnet-5,15225,23234,3910392,192463
2026-07-12,write-tweet,claude-sonnet-5,2676,20385,3011195,93101
2026-07-12,memory-flush,claude-sonnet-5,2247,7582,1076846,66253
2026-07-13,bd-radar,claude-sonnet-5,4161,22453,3631773,231346
2026-07-13,shiplog,claude-sonnet-5,2940,20504,2889044,51418
2026-07-13,digest,claude-sonnet-5,3593,21400,3872835,168627
2026-07-13,write-tweet,claude-sonnet-5,2553,19565,2987133,88185
2026-07-14,memory-flush,claude-sonnet-5,2394,11120,1676293,73727
2026-07-14,bd-radar,claude-sonnet-5,3135,26771,6206717,147108
2026-07-14,github-monitor,claude-sonnet-5,2241,12576,1028361,112844
